Type,Name,Content,TTL,Proxy
TXT,www,stripe-verification=REPLACE_WITH_YOUR_VALUE,Auto,DNS only
TXT,_dmarc.www,v=DMARC1; p=none;,Auto,DNS only
CNAME,cgftia5loz5rrrseowvfcbbvapfcfwll._domainkey.www,cgftia5loz5rrrseowvfcbbvapfcfwll.dkim.custom-email.stripe.com,Auto,DNS only
CNAME,r76xewuryfbp5cnyftthfs2nypteqqrr._domainkey.www,r76xewuryfbp5cnyftthfs2nypteqqrr.dkim.custom-email.stripe.com,Auto,DNS only
CNAME,w3k4jkzmszrp5zvuxiey5eepou3sfl6p._domainkey.www,w3k4jkzmszrp5zvuxiey5eepou3sfl6p.dkim.custom-email.stripe.com,Auto,DNS only
CNAME,vy2asankpamkc6nrks7rit4bj6bpggpp._domainkey.www,vy2asankpamkc6nrks7rit4bj6bpggpp.dkim.custom-email.stripe.com,Auto,DNS only
CNAME,o4zang5cwgzck7cvc3y7epfr67tfuqd._domainkey.www,o4zang5cwgzck7cvc3y7epfr67tfuqd.dkim.custom-email.stripe.com,Auto,DNS only
CNAME,ave5s3eexdzd6jtu7jjopobmyahuzpbp._domainkey.www,ave5s3eexdzd6jtu7jjopobmyahuzpbp.dkim.custom-email.stripe.com,Auto,DNS only
CNAME,bounce.www,custom-email-domain.stripe.com,Auto,DNS only
